"";"H";"f";"lambda";"v"
"1";1;1394.94;3602;5024.57388
"2";2;2878.79;1801;5184.70079
"3";3;4303.03;1200.66666666667;5166.50468666667
"4";4;5696.97;900.5;5130.121485
"5";5;7212.12;720.4;5195.611248
