0.995;9.76095;0.55;0.590;0.2850
1.983;19.45323;0.98;1.040;0.5050
3.016;29.58696;1.360;1.400;0.6900
3.983;39.07323;1.670;1.710;0.8450
4.940;48.46140;1.950;1.970;0.9800
5.921;58.08501;2.190;2.230;1.1050
6.903;67.71843;2.470;2.520;1.24750
7.931;77.803;2.740;2.760;1.37500
8.942;87.72102;2.990;3.000;1.49750
9.924;97.35444;3.240;3.240;1.620000
masa[kg];si³a F;wskazanie rosnace[mm];wskazanie malejcae[mm];œrednie wyd³uzenie [mm]
