"ad","ag","h"
4.12,1.54,2.58
4.07,1.52,2.55
4.12,1.52,2.6
4.08,1.54,2.54
4.09,1.5,2.59
4.1,1.54,2.56
4.1,1.52,2.58
4.11,1.52,2.59
4.1,1.54,2.56
4.12,1.5,2.62
