"ad","ag","h"
4.06,1.55,2.51
4.11,1.49,2.62
4.05,1.51,2.54
4.07,1.52,2.55
4.1,1.5,2.6
4.05,1.51,2.54
4.04,1.51,2.53
4.03,1.51,2.52
4.05,1.48,2.57
4.12,1.53,2.59
