"ad","ag","h"
4.12,1.59,2.53
4.09,1.6,2.49
4.13,1.62,2.51
4.09,1.59,2.5
4.11,1.6,2.51
4.1,1.57,2.53
4.1,1.57,2.53
4.07,1.6,2.47
