mass;F;up;down;mean
0.995; 9.76095;0.54;0.56;0.28
1.983;19.45323;0.98;0.99;0.49
3.016;29.58696;1.34;1.36;0.68
3.982;39.06342;1.64;1.67;0.83
4.939;48.45159;1.91;1.91;0.96
5.919;58.06539;2.14;2.14;1.07
