"RW","a","RX","approved"
180,56,10.6779661016949,FALSE
64,150,11.2941176470588,TRUE
33,252,11.1176470588235,TRUE
20,355,11.0077519379845,TRUE
13.5,450,11.0454545454545,TRUE
9.4,549,11.4425720620843,TRUE
6.3,652,11.8034482758621,TRUE
4.7,733,12.9029962546816,FALSE
2.3,850,13.0333333333333,FALSE
1,924,12.1578947368421,TRUE
