"RW","a","RX","approved"
270,68,19.6995708154506,TRUE
112,151,19.9199057714959,TRUE
60.4,252,20.3486631016043,TRUE
37.2,350,20.0307692307692,TRUE
24.5,450,20.0454545454545,TRUE
16.4,551,20.1256124721604,TRUE
8.9,647,16.3124645892351,FALSE
6,750,18,TRUE
3.3,847,18.2686274509804,TRUE
0.8,952,15.8666666666667,FALSE
