"RW","a","RX","approved"
101.2,88,9.76491228070175,TRUE
50.3,250,16.7666666666667,FALSE
30.7,331,15.1893871449925,FALSE
20,331,9.89536621823617,TRUE
11,468,9.67669172932331,TRUE
7.5,559,9.50680272108844,TRUE
5.1,653,9.59740634005764,TRUE
3,751,9.04819277108434,TRUE
1.7,834,8.54096385542169,TRUE
0.2,659,0.386510263929619,FALSE
